catalogue_number,name,srdb_signature,alternative_signatures,country,corpus_region,dating,year_found,place_of_find,find_context,plate_type,material,size,interpreted,main_text_section,main_text_page,appendix_pdf_page
11,Gorodišče plate 2,RU Melnikova2001;189,,Russia,Outside Scandinavia,"900s (eV), runological dating",1983,"Rjurikovo Gorodišče, Novgorod, Russia","domestic (urban environment, fortification)",A,bronze,"49 mm long, 12–13 mm wide, 1 mm thick",True,7.2.1,265,348
12,Ladoga plate,RU Melnikova2001;196,,Russia,Outside Scandinavia,"800–950 (eV), archaeological and runological dating",1975,"Varangian Street, Staraja Ladoga, Russia",domestic (urban),A (+bronze attachment),copper,"48 mm long, 14.2–18 mm wide, 0.5 mm thick",True,7.2.2,272,355
13,Gällungs plate 1,G 261,,Sweden,Swedish corpus,900s (eV),1973,"Gällungs, Gotland",grave,"C, roll",bronze,"80 mm long when straightened, 14 mm wide, 10 mm diameter",False,5.3.1,241,349
14,Gällungs plate 2,G 261,,Sweden,Swedish corpus,900s (eV),1973,"Gällungs, Gotland",grave,"C, roll",bronze,"45 mm long when straightened, 21 mm wide, 9 mm in diameter",False,5.3.1,241,350
15,Hallbjäns plate,G 361,,Sweden,Swedish corpus,"700–750 (eV), archaeological dating",1965,"Hallbjäns, Gotland",grave,A,copper,"41.3 mm long, 10.4 mm wide, 0.6 mm thick",True,3.1,67,350
16,Leksand plate,D Fv1984;250,,Sweden,Swedish corpus,"1000–1100s (lV), archaeological dating",1983,"Yttermo, Leksand parish, Dalarna",grave,A,bronze,"39–41 mm long, 15–17 mm wide, 0.5 mm thick",True,5.1.1,213,355
17,Hovgård plate,U NOR1994;26A,,Sweden,Swedish corpus,"900s (eV), archaeological and runological dating",1993,"Hovgården, Alsnö House, Adelsö parish, Uppland",domestic,A (+silver wire),bronze,"60 mm long, 14 mm wide, 1 mm thick",False,5.1.2,216,351
18,Björkö plate 1,U NOR2002;26,,Sweden,Swedish corpus,"900s (eV), archaeological dating",2002,"fort (The Garrison), Birka, Uppland","domestic (urban environment, fortification)",A (+copper wire),bronze,"33 mm long, 6–7 mm wide, 0.9 mm thick",False,5.1.3,219,345
19,Björkö plate 2,U NOR2002;28,,Sweden,Swedish corpus,"900s (eV), archaeological dating",2002,"fort (The Garrison), Birka, Uppland","domestic (urban environment, fortification)",A (+copper wire),bronze,"21 mm long, 8–9.5 mm wide, 0.5 mm thick",False,5.1.3,219,345
20,Gamla Uppsala plate 1,U ATA351-1796-2014,,Sweden,Swedish corpus,1000–1100s (lV),2012,"Gamla (Old) Uppsala, Uppland",domestic,fragmentary,copper alloy,"22 mm long, 29 mm wide, 0.5 mm thick",True,4.4,200,347
21,Gamla Uppsala plate 2,no signature,,Sweden,Swedish corpus,"V, runological dating",2012,"Gamla (Old) Uppsala, Uppland",domestic,B,copper,"61 mm long (when straightened), 24–26 mm wide, 1 mm thick",False,5.2.1,229,347
22,Hässelby plate,U FJÖLNIR1985:2;28,,Sweden,Swedish corpus,"1000s (mV), archaeological dating",1984,"Hässelby, Börje parish, Uppland",grave,"C, fragmentary, pendant",bronze,"reconstructed length of 70 mm, reconstructed width of 20 mm, 0.5 mm thick",False,5.3.2,243,352
23,Järfälla plate,U Fv1969;210,,Sweden,Swedish corpus,"1000 (mV), archaeological dating",1962,"Veddesta farm, Järfälla, Uppland",grave,B,copper,"47 mm long, 22 mm wide, 0.20 mm thick",True,4.2,175,353
24,Sigtuna plate 1,U Fv1933;134,Sl 5,Sweden,Swedish corpus,"1000–1050 (mV), runological dating",1931,"in the ‘Granhäcken’ block, Sigtuna, Uppland",domestic (urban environment),A,copper,"82 mm long, 27.5–29 mm wide, 0.9 mm thick",True,3.2,70,358
25,Sigtuna plate 2,U AST1;166,Sl 3,Sweden,Swedish corpus,"1000–1199 (lV), runological dating",1927,"in the ‘Humlegården’ block, Sigtuna, Uppland",domestic (urban environment),C,copper,"82 mm long, 19–22 mm wide, 0.7 mm thick",True,4.8,207,358
26,Sigtuna plate 3,U AST1;171,Sl 4,Sweden,Swedish corpus,V,1927,"in the ‘Humlegården’ block, Sigtuna, Uppland",domestic (urban environment),fragmentary,recorded as both copper and bronze,"42 mm long, 23 mm wide, 0.5 mm thick",False,5.2.2,230,359
27,Sigtuna plate 4,U Fv1986;220B,Sl 13,Sweden,Swedish corpus,"1000–1150 (lV), archaeological dating",1985,"in the ‘Granhäcken’ block, Sigtuna, Uppland",domestic (urban environment),fragmentary,recorded as both copper and bronze,"45 mm long, 16–20 mm wide, 0.5 mm thick",False,5.2.3,231,359
28,Sigtuna plate 5,no signature,Sl 119,Sweden,Swedish corpus,unknown (V?),unknown,"unknown findplace in ‘Black Earth’, Sigtuna",unknown,fragmentary (B?),copper,"116 mm long, 23–21 mm wide, 0.8 mm thick",False,5.2.4,232,360
29,Sigtuna plate 6,no signature,Sl 118,Sweden,Swedish corpus,unknown (V?),1927?,"in the ‘St. Gertrud’ block?, Sigtuna",unknown,B,copper,"58 mm long, 12–14 mm wide, 0.9 mm thick",False,5.2.5,237,360
30,Sigtuna plate 7,no signature,Sl 120,Sweden,Swedish corpus,"1050–1150 (lV), archaeological dating",2014,"‘Göte’s petrol station’, Sigtuna",domestic (urban environment),B,copper alloy,"25 mm long, 22 mm wide, 0.8 mm thick",False,5.2.6,238,361
31,Ulvsunda plate,U AST1;150,,Sweden,Swedish corpus,"800s (eV), archaeological and runological dating",1939,"Ulvsunda, Uppland","grave (pre-Christian, female’s?)",B,bronze,"16.5 mm long, 9.5 mm wide, 0.3 mm thick",True,4.1,171,366
32,Vassunda plate 3,U AST1;183,,Sweden,Swedish corpus,V,1925,"Vassunda rectory, Uppland",grave (Christian),B,copper,"48 mm long, 34 mm wide, 0.5 mm thick",True,4.7,204,367
33,Villberga plate,U AST1;174,,Sweden,Swedish corpus,V,"unknown, purchased by Museum of Nordic Archaeology in Uppsala in 1928","unknown, Villberga, Uppland",unknown,A,copper,"46 mm long, 32–33 mm wide, 1 mm thick",True,5.1.4,221,367
34,Östra Aros plate,U Uppl1969;32,,Sweden,Swedish corpus,"end of 1000s–1100s (lV), archaeological and runological dating",1969,"St. Peter’s church ruin, Uppsala",grave (Christian),C,bronze,"36 mm long (straightened), 29 mm wide, 0.5 mm thick",False,5.3.3,245,368
35,Högstena plate,Vg 216,,Sweden,Swedish corpus,"1050–1150 (lV), runological dating",1920,"Högstena church cemetery, Västergötland",grave,"B, broken into two parts (C?)",bronze,"88 mm (71+17) long, 19–20 mm wide, 1.3–1.4 mm thick",True,4.3,179,352
36,Sunnerby plate,no signature,,Sweden,Swedish corpus,V,2012,"Sunnerby, Otterstad parish on Kållandsö, Västergö tland (Sunnerby 9:1, site RAÄ 57)",domestic,"A, fragmentary",copper,"23 mm long, 22–23 mm wide, 0.8 mm thick",False,5.1.5,224,365
37,Eketorp plate,Öl ATA326-1087-2007,,Sweden,Swedish corpus,V,1970,"Eketorp Fort, Eketorp, Gräsgård parish, Öland","domestic (urban, fortification)",fragmentary,bronze,"40–49 mm long, 13–15 mm wide, 0.5 mm thick",False,5.2.7,239,346
38,Klinta plate 1,Öl BN83,,Sweden,Swedish corpus,"900s (eV), archaeological dating",1957,"Klinta, Köpingsvik parish, Öland",grave,A,copper,"22 mm long, 8–9 mm wide, 0.5 mm thick",False,5.1.6,225,353
39,Klinta plate 2,Öl BN84,,Sweden,Swedish corpus,"900s (eV), archaeological dating",1957,"Klinta, Köpingsvik parish, Öland",grave,A,copper,"44–45 mm long, 9–10 mm wide, 0.5 mm thick",False,5.1.6,225,354
40,Kvinneby plate,Öl SAS1989;43,,Sweden,Swedish corpus,"1000–1150 (lV), runological dating",1955,"Södra Kvinneby, Stenåsa parish, Öland",unknown,A,copper,"52 mm long, 49 mm wide, 1.5 mm thick",True,3.3,113,354
41,Solberga plate 1,Öl Fv1976;96A,,Sweden,Swedish corpus,"1050–1150 (lV), archaeological and runological dating",1972,"Solberga 4:11, Köpingsvik, Öland","domestic (urban environment, workshop)",B,copper,"86 mm long, 19 mm wide, 1 mm thick",True,3.4,151,362
42,Solberga plate 2,Öl Fv1976;96B,,Sweden,Swedish corpus,"1050–1150 (lV), archaeological and runological dating",1972,"Solberga 4:11, Köpingsvik, Öland","domestic (urban environment, workshop)","A, three holes",copper,"84–85 mm long, 12–19 mm wide, 1 mm thick",True,3.4,151,363
43,Solberga plate 3,Öl ATA6371/83,,Sweden,Swedish corpus,V,1983,"Solberga 4:8, Köpingsvik, Öland",domestic (urban environment),A,copper,"44 mm long, 26 mm wide, 1 mm thick",False,5.1.7,227,364
44,Solberga plate 4,Öl ATA423-2541-1996,,Sweden,Swedish corpus,V,1990,"Solberga 4:8, Köpingsvik, Öland",domestic (urban environment),A (+wire),bronze,"26–27 mm long, 10–11 mm wide, 0.5 mm thick",False,5.1.7,227,364
45,Solberga plate 5,no signature,,Sweden,Swedish corpus,V,1972,"Solberga 4:11, Köpingsvik, Öland",domestic (urban environment),A (+wire),copper,"39–40 mm long, 12–14 mm wide, 1 mm thick",False,5.1.7,227,365
46,Skänninge plate,Ög NOR2001;32,,Sweden,Swedish corpus,"1000–1150 (lV), archaeological and runological dating",2000,"in the ‘Abbedissan’ block, Motalagatan 24, Skänninge, Östergötland",domestic (urban environment),fragmentary,copper alloy (bronze?),"36 mm long, 14 mm wide, 1 mm thick",True,4.5,201,361
